id,title,linkedCanyons,effectiveDate,reviewReasons,textUrl
129,Arrêté - 26 avr 2002,1,26 avr 2002,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/129/legislation.html
126,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/126/legislation.html
119,Convention - 01 mai 2006,1,01 mai 2006,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/119/legislation.html
117,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/117/legislation.html
114,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/114/legislation.html
113,Arrêté (Parc national du Mercantour),1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/113/legislation.html
110,Arrêté municipal - 20 juil 2004,1,20 juil 2004,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/110/legislation.html
108,Arrêté (Parc du Mont Perdu) - 17 mars 1995,1,17 mars 1995,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/108/legislation.html
107,Arrêté municipal (Les Marecottes),1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/107/legislation.html
88,Arrêté,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/88/legislation.html
87,Arrêté,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/87/legislation.html
86,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/86/legislation.html
85,Arrêté municipal,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/85/legislation.html
83,Arrêté,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/83/legislation.html
81,Information - 17 fév 2005,1,17 fév 2005,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/81/legislation.html
70,Arrêté municipal - 15 juil 1998,1,15 juil 1998,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/70/legislation.html
69,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/69/legislation.html
68,Information - avr 2003,1,avr 2003,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/68/legislation.html
66,Arrêté municipal (Bonneval sur Arc) - 19 juin 1999,1,19 juin 1999,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/66/legislation.html
56,Arrêté municipal (St Egrève) - 03 juil 2003,1,03 juil 2003,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/56/legislation.html
55,Arrêté municipal (La Léchère - Pussy) - 23 oct 2002,1,23 oct 2002,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/55/legislation.html
54,Arrêté municipal (Nyer),1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/54/legislation.html
51,Arrêté (Réserve du Pas de l'Escalette),1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/51/legislation.html
44,"Arrêté préfectoral (Savoie, Isère) - 07 oct 1999",1,07 oct 1999,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/44/legislation.html
13,Information,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/13/legislation.html
12,Arrêté municipal (Servoz),1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/12/legislation.html
11,Arrêté préfectoral (Ain) - 14 sept 1999,1,14 sept 1999,old_text;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/11/legislation.html
8,Arrêté municipal,1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/8/legislation.html
4,Arrêté préfectoral (Isère),1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/4/legislation.html
2,Arrêté municipal (St Andéol),1,,missing_effective_date;no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/2/legislation.html
42,Arrêté préfectoral (Alpes de Haute Provence) - 03 juil 1996,150,03 juil 1996,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/42/legislation.html
478,Arrêté préfectoral (Balearic Islands) - 11 avr 2007,24,11 avr 2007,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/478/legislation.html
526,Arrêté - 15 juil 2010,17,15 juil 2010,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/526/legislation.html
182,Arrêté (Parc National des Dolomites de Belluno) - 21 nov 2000,11,21 nov 2000,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/182/legislation.html
470,Arrêté municipal (Rigaud) - 29 mars 2022,6,29 mars 2022,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/470/legislation.html
132,Arrêté,6,,missing_effective_date,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/132/legislation.html
380,Arrêté municipal (St Claude) - 11 juin 2003,5,11 juin 2003,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/380/legislation.html
509,Arrêté (Catalunya) - 12 juin 2008,4,12 juin 2008,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/509/legislation.html
338,Information - 30 juin 2016,4,30 juin 2016,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/338/legislation.html
592,Information - 12 fév 2025,2,12 fév 2025,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/592/legislation.html
570,Arrêté - 20 mai 2025,2,20 mai 2025,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/570/legislation.html
444,Arrêté préfectoral (Var) - 15 oct 2009,2,15 oct 2009,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/444/legislation.html
382,Information - 25 mai 2018,2,25 mai 2018,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/382/legislation.html
363,Arrêté - 20 juil 2009,2,20 juil 2009,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/363/legislation.html
194,Arrêté préfectoral (Alpes-Maritimes) - 15 fév 1996,2,15 fév 1996,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/194/legislation.html
48,Arrêté préfectoral (Gard) - 11 avr 2003,2,11 avr 2003,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/48/legislation.html
594,Information - 30 oct 2025,1,30 oct 2025,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/594/legislation.html
593,Information - 30 oct 2025,1,30 oct 2025,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/593/legislation.html
589,Arrêté municipal (Juzet-de-Luchon) - 01 déc 1999,1,01 déc 1999,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/589/legislation.html
585,Arrêté - 29 sept 2025,1,24 avr 2026,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/585/legislation.html
561,Arrêté municipal (Auriac) - 13 août 2009,1,13 août 2009,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/561/legislation.html
560,Convention - 01 jan 2024,1,01 jan 2024,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/560/legislation.html
551,Arrêté municipal (Chaley) - 24 juin 2024,1,24 juin 2024,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/551/legislation.html
547,Arrêté - 13 avr 1993,1,13 avr 1993,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/547/legislation.html
544,Information - 01 jan 2024,1,01 jan 2024,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/544/legislation.html
535,Arrêté préfectoral (La Réunion) - 10 nov 2003,1,10 nov 2003,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/535/legislation.html
532,Arrêté municipal (Soccia) - 07 août 2023,1,07 août 2023,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/532/legislation.html
500,Arrêté municipal (Bocognano) - 02 août 2020,1,02 août 2020,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/500/legislation.html
499,Arrêté - 29 juin 2021,1,29 juin 2021,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/499/legislation.html
497,"Arrêté municipal (La Bridoire, Attignat-Oncin) - 27 sept 2022",1,27 sept 2022,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/497/legislation.html
496,Arrêté municipal (Callas) - 29 juin 2021,1,29 juin 2021,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/496/legislation.html
467,Arrêté préfectoral (Ain) - 04 déc 2002,1,04 déc 2002,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/467/legislation.html
462,Arrêté municipal (Sainte-Engrâce) - 31 juil 2020,1,31 juil 2020,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/462/legislation.html
437,Arrêté municipal (Roquefère) - 07 déc 2000,1,07 déc 2000,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/437/legislation.html
433,Information - 17 juin 2021,1,17 juin 2021,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/433/legislation.html
429,Information - 13 avr 2015,1,13 avr 2015,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/429/legislation.html
428,Convention - 01 juil 2021,1,01 juil 2021,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/428/legislation.html
426,Convention - 05 juil 2021,1,05 juil 2021,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/426/legislation.html
425,Information - 26 juin 2020,1,26 juin 2020,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/425/legislation.html
423,Arrêté municipal (Comps-sur-Artuby) - 30 juin 2021,1,30 juin 2021,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/423/legislation.html
421,Arrêté municipal (Aspremont) - 09 juil 2020,1,09 juil 2020,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/421/legislation.html
414,Information - 01 avr 2021,1,01 avr 2021,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/414/legislation.html
406,Information - 21 mai 2020,1,21 mai 2020,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/406/legislation.html
370,Information - 01 mai 2018,1,01 mai 2018,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/370/legislation.html
366,Arrêté,1,,missing_effective_date,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/366/legislation.html
365,Arrêté,1,,missing_effective_date,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/365/legislation.html
344,Information - 13 sept 2016,1,13 sept 2016,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/344/legislation.html
340,Arrêté (País Vasco) - 11 avr 1995,1,11 avr 1995,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/340/legislation.html
322,Arrêté municipal (Touët sur Var) - 30 avr 2015,1,30 avr 2015,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/322/legislation.html
318,Arrêté préfectoral (Hautes-Pyrénées) - 25 nov 2009,1,25 nov 2009,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/318/legislation.html
303,Information - 14 jan 2014,1,14 jan 2014,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/303/legislation.html
290,Arrêté préfectoral (Alpes de Haute Provence) - 30 oct 2009,1,30 oct 2009,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/290/legislation.html
286,Arrêté préfectoral (Doubs) - 14 jan 2010,1,14 jan 2010,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/286/legislation.html
271,Arrêté - 23 mai 2013,1,23 mai 2013,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/271/legislation.html
267,Information - 18 juil 2013,1,18 juil 2013,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/267/legislation.html
261,Arrêté,1,,missing_effective_date,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/261/legislation.html
257,Arrêté municipal (Collobrières) - 04 mai 2006,1,04 mai 2006,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/257/legislation.html
237,Arrêté - 29 mars 2012,1,29 mars 2012,no_attachment,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/237/legislation.html
216,Arrêté - 28 avr 2005,1,28 avr 2005,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/216/legislation.html
213,Arrêté (Cataluña) - 15 juil 1983,1,15 juil 1983,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/213/legislation.html
210,Arrêté municipal (Sillans la cascade) - 08 août 2005,1,08 août 2005,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/210/legislation.html
192,Arrêté municipal (Bonneville) - 03 août 2009,1,03 août 2009,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/192/legislation.html
171,Information - 28 juil 2008,1,28 juil 2008,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/171/legislation.html
153,Arrêté préfectoral (Alpes-Maritimes) - 09 mai 1990,1,09 mai 1990,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/153/legislation.html
112,Arrêté municipal (St Claude) - 27 mai 1997,1,27 mai 1997,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/112/legislation.html
106,Arrêté municipal (Bidarray) - 22 oct 2002,1,22 oct 2002,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/106/legislation.html
101,Arrêté municipal (Rocchetta Nervina),1,,missing_effective_date,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/101/legislation.html
71,Arrêté municipal (St Vincent sur Jabron) - 19 juil 1996,1,19 juil 1996,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/71/legislation.html
64,Arrêté préfectoral (Hautes-Alpes) - 29 nov 2005,1,29 nov 2005,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/64/legislation.html
52,Arrêté municipal (Colombières sur Orb) - 25 juil 1995,1,25 juil 1995,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/52/legislation.html
49,Convention - 03 août 2001,1,03 août 2001,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/49/legislation.html
5,Arrêté municipal (Malleval) - 22 juil 1992,1,22 juil 1992,old_text,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/5/legislation.html
349,Arrêté préfectoral (Alpes-Maritimes) - 27 oct 2016,227,27 oct 2016,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/349/legislation.html
579,Arrêté préfectoral (Var) - 13 mai 2025,84,13 mai 2025,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/579/legislation.html
402,Arrêté (Bern/Berne) - 01 jan 2020,63,01 jan 2020,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/402/legislation.html
350,Arrêté (Aragón) - 02 déc 2014,63,02 déc 2014,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/350/legislation.html
520,Arrêté préfectoral (Corse-du-Sud) - 26 juil 2011,53,26 juil 2011,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/520/legislation.html
325,Arrêté préfectoral (Pyrénées-Orientales) - 26 mars 2015,51,26 mars 2015,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/325/legislation.html
232,Arrêté préfectoral (Corse) - 08 juin 2011,43,08 juin 2011,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/232/legislation.html
453,Arrêté - 11 juin 2019,37,11 juin 2019,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/453/legislation.html
328,Arrêté préfectoral (Ardèche) - 22 mars 2016,35,22 mars 2016,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/328/legislation.html
508,Arrêté préfectoral (Lozère) - 26 oct 2016,20,26 oct 2016,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/508/legislation.html
399,Arrêté municipal (Auzat) - 16 nov 2018,12,16 nov 2018,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/399/legislation.html
543,Arrêté municipal (Pierlas) - 21 mai 2024,6,21 mai 2024,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/543/legislation.html
597,Arrêté - 22 oct 2025,5,22 oct 2025,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/597/legislation.html
448,Arrêté préfectoral (Pyrénées-Atlantiques) - 02 août 2017,5,02 août 2017,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/448/legislation.html
434,Arrêté - 09 mars 2020,5,09 mars 2020,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/434/legislation.html
482,Arrêté municipal (Clans) - 20 juin 2022,4,20 juin 2022,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/482/legislation.html
297,Convention - 20 déc 2011,4,20 déc 2011,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/297/legislation.html
588,Information - 01 jan 2023,3,01 jan 2023,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/588/legislation.html
574,Arrêté - 06 fév 2025,3,06 fév 2025,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/574/legislation.html
541,Arrêté municipal (Quenza) - 29 avr 2024,3,29 avr 2024,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/541/legislation.html
533,Arrêté - 29 déc 2014,3,29 déc 2014,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/533/legislation.html
510,Arrêté municipal (Pierrefeu) - 13 avr 2023,3,13 avr 2023,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/510/legislation.html
461,Arrêté municipal (Sainte-Engrâce) - 20 avr 2021,3,20 avr 2021,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/461/legislation.html
449,Arrêté municipal (La Ciotat) - 03 juin 2019,3,03 juin 2019,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/449/legislation.html
596,Arrêté municipal (Rupit i Pruit) - 19 oct 2021,2,19 oct 2021,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/596/legislation.html
484,Arrêté municipal (Coaraze) - 20 juin 2022,2,20 juin 2022,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/484/legislation.html
422,Arrêté municipal (Champcella) - 17 juin 2021,2,17 juin 2021,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/422/legislation.html
398,Arrêté municipal (La Léchère) - 26 avr 2019,2,26 avr 2019,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/398/legislation.html
601,Arrêté - 22 fév 2026,1,22 fév 2026,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/601/legislation.html
600,Arrêté municipal (La Bâthie) - 23 jan 2026,1,14 oct 2026,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/600/legislation.html
599,Arrêté municipal (Bras-Panon) - 13 mars 2018,1,13 mars 2018,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/599/legislation.html
595,Arrêté - 02 juil 2025,1,02 juil 2025,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/595/legislation.html
590,Arrêté municipal (Saint-Joseph) - 13 oct 2025,1,13 oct 2025,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/590/legislation.html
586,Arrêté municipal (Ceillac) - 23 sept 2025,1,23 sept 2025,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/586/legislation.html
584,"Arrêté municipal (Pied-de-Borne, Prévenchères) - 01 sept 2025",1,01 sept 2025,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/584/legislation.html
575,Arrêté municipal (Lavaldens) - 11 juin 2025,1,11 juin 2025,,https://www.descente-canyon.com/canyoning/reglementation/reglemtexte/575/legislation.html
